"id","Date","StartTime","StopTime","Duration","PeekFlow","DomainName","RegisterName","Remark","IP_Information","Sites_Impact"
"5","2015-02-07",NULL,NULL,"1.2","295500","ha.cn",NULL,"随机构造","来源IP比较分散，多为国内电信IP地址网段","26个节点（国内外顶级节点）"
"4","2015-01-20",NULL,NULL,"7.6","88000","bjyxjy.com.cn",NULL,"3级构造","来源IP比较分散，多为国外IP
地址网段","26个节点（国内外顶级节点）"
"3","2014-01-20",NULL,NULL,"7","75000","ho20.cn",NULL,"3级构造","来源IP比较分散，多为国内
电信IP地址网段","26个节点（国内外顶级节点）"
"2","2014-01-18",NULL,NULL,"2.2","72000","4056qp.cn",NULL,"随机构造","来源IP比较分散，多为国外IP
地址网段","26个节点（国内外顶级节点）"
"1","2014-01-17",NULL,NULL,"1.5","86000","ho20.cn",NULL,"3级构造","来源IP比较分散","26个节点（国内外顶级节点）"
"6","2015-02-08",NULL,NULL,"1.5","380000","ha.cn",NULL,"随机构造","来源IP比较分散，多为国内电信IP地址网段","26个节点（国内外顶级节点）"
"7","2015-03-11",NULL,NULL,"5.7","90000","hsexpress.cn ,zszhanyi.cn",NULL,"随机构造","来源IP多为国外无规律","国外节点"
"8","2015-03-11",NULL,NULL,"0.67","100000","mcgift.com.cn,mhzjs.cn",NULL,"随机构造","攻击来源IP多为国外无规律","主节点等国内节点"
"9","2015-03-11",NULL,NULL,"2.5","70000","hsexpress.cn,zszhanyi.cn,lundaddc.cn",NULL,"随机构造","攻击来源IP多为国外无规律
属于客户端IP","国外节点"
"10","2015-03-12",NULL,NULL,"2.6","93000","hsexpress.cn,zszhanyi.cn,lundaddc.cn,lundaddc.cn",NULL,"随机构造","来源IP多为国外无规律","广州移动、韩国、德国，瑞典、
韩国、达拉斯、荷兰"
"11","2015-03-14",NULL,NULL,"3.5","163000","*.we.fzxjm.cn,*.www.hsexpress.cn,*.www.zszhanyi.cn,*.www.lundaddc.cn",NULL,"四级随机子域名
","""源IP比较分散且多为
国外IP无明显规律""
","国内Global节点
"
"12","2015-03-15",NULL,NULL,"4","193000","fzxjm.cn",NULL,"3级构造","源IP比较分散且多为国外IP无明显规律","Global节点及多个海外节点
"
"13","2014-02-19",NULL,NULL,"0.83","30000","83uc.cn",NULL,"3级构造",,"2节点（美国、德国）"
"14","2014-03-07",NULL,NULL,"0.33","33000","jxoYJt.com.cn",NULL,"4级构造","196.29.32.254","3节点（瑞典、韩国、德国）"
"15","2014-03-14",NULL,NULL,"1","33000","dailyfun.cn ",NULL,"3级构造","111.13.52.145","1节点（经贸网）"
"16","2015-03-16",NULL,NULL,"0.67","38000","*.yuerengu.com.cn",NULL,"4级构造","200.26.137.135","2节点（德国、香港）"
"17","2014-03-17",NULL,NULL,"5","32000","tpa.net.cn",NULL,"4级构造",,"1节点（德国）"
"18","2014-03-18",NULL,NULL,"0.5","36000","tpa.net.cn",NULL,"4级构造",,"1节点（荷兰）"
"19","2014-03-23",NULL,NULL,"0.58","32000","*.yuerengu.com.cn",NULL,"4级构造","203.130.159.0","4节点（韩国、德国、ISC、新加坡）"
"20","2014-03-24",NULL,NULL,"1","39000","sciencenet******.cn",NULL,"随机域名","60.215.138.233","2节点（主节点、济南联通）"
"21","2014-03-25",NULL,NULL,"2.16","38000","暂无",NULL,"随机域名","123.125.71.0","1节点（北京移动）"
"22","2014-03-27",NULL,NULL,"0.5","33000","暂无",NULL,"随机域名","123.125.71.0","4节点（成都电信，南京联通，广州联通，济南联通，上海电信）"
"23","2014-04-03",NULL,NULL,"0.33","62000","sansl.com.cn",NULL,"3级构造","IP比较分散","5节点（瑞典节点，韩国节点，德国节点，美国Isc，英国tata）"
"24","2014-04-16",NULL,NULL,"0.5","39300","csblue.cn",NULL,"3级构造","180.137.252.0","2节点（广州电信节点，新加坡节点）"
"25","2014-05-02",NULL,NULL,"3","37000","i3345.cn",NULL,"3级构造",,"5节点（成都电信、广州移动、韩国、新加坡、广州电信）"
"26","2014-05-02",NULL,NULL,"3","38000","0519fk.cn",NULL,"3级构造",,"5节点（成都电信、广州移动、韩国、新加坡、广州电信）"
"27","2014-05-07",NULL,NULL,"3","34000","zhuhuanhuanba.cn",NULL,"3级构造","IP比较分散","7节点（瑞典，德国，香港，美国ISC，英国，芝加哥，荷兰节点）"
"28","2014-05-19",NULL,NULL,"1.67","39000","暂无",NULL,"随机域名","123.125.71.0","（8节点）主节点、广州移动、韩国、济南联通、南京联通、
广州联通、新加坡、北京联通"
"29","2014-05-21",NULL,NULL,"0.37","38000","in-addr.arpa",NULL,,,"3节点（德国、Neus、英国TATA）"
"30","2014-05-26",NULL,NULL,"0.17","40000","in-addr.arpa",NULL,,,"3节点（德国、美国nustar、英国）"
"31","2014-05-30",NULL,NULL,"1.4","51000","www.tkdsh.cn",NULL,"4级构造",,"9节点（主节点、瑞典、德国、美国NEUSTAR、香港、美国ISC
英国TATA、美国芝加哥、荷兰）"
"32","2014-06-01",NULL,NULL,"0.25","99300","随机域名",NULL,,"百度蜘蛛查询","11节点（主节点、瑞典、韩国、德国、Neus、香港、ISC
英国TATA、新加坡、芝加哥、荷兰）"
"33","2014-06-02",NULL,NULL,"0.9","32640","024tt.cn",NULL,"3级构造",,"3节点（韩国、广州电信、新加坡)"
"34","2014-06-03",NULL,NULL,"0.25","27000","in-addr.arpa",NULL,,"谷歌爬虫查询","5节点（德国、美国neustar、美国ISC、美国芝加哥、英国TATA 节点）"
"35","2014-06-04",NULL,NULL,"1.4","153447","www.ccxxjc.cn",NULL,"4级构造",,"9个节点（主节点、瑞典、成都、广州移动、德国、
美国neustar、美国ISC、英国、美国芝加哥）"
"36","2014-06-04",NULL,NULL,"0.42","31000","www.teabeauty.com.cn,www.jibau.cn",NULL,"4级构造",,"15个节点"
"37","2014-06-06",NULL,NULL,"0.33","32000","暂无",NULL,"随机域名","42.120.249.0","3节点（成都节点、广州移动）"
"38","2014-06-09",NULL,NULL,"1.5","41000","暂无",NULL,,"百度蜘蛛查询","10个节点（主节点、成都、广州移动、韩国、南京联通、
广州联通、济南联通、新加坡、北京联通）"
"39","2014-06-09",NULL,NULL,"0.67","37000","testorabc.com.cn",NULL,,,"4个节点（主节点、成都、广州移动、韩国节点）"
"40","2014-06-09",NULL,NULL,"0.4","35000","188188188.com.cn",NULL,"4级构造",,"1个节点（香港节点）"
"41","2014-06-09",NULL,NULL,"0.25","41000","in-addr.arpa",NULL,,,"2个节点（德国、英国）"
"42","2014-06-11",NULL,NULL,"0.18","65000","22.cn、everdns.cn",NULL,"3级构造",,"11个节点（主节点、瑞典、韩国、德国、Neus、香港、ISC
英国、新加坡、芝加哥、荷兰节点）"
"43","2014-06-12",NULL,NULL,"10.5","49792","in-addr.arpa",NULL,"谷歌爬虫查询",,"4个节点(瑞典、美国ISC、美国neustar、美国芝加哥)"
"44","2014-06-13",NULL,NULL,"3","49792","in-addr.arpa",NULL,,"谷歌爬虫查询","4个节点（瑞典、美国ISC、美国neustar、美国芝加哥）"
"45","2014-06-16",NULL,NULL,"0.33","32000","kbpay.cn",NULL,"3级构造",,"3个节点（成都、韩国、广州电信）"
"46","2014-06-17",NULL,NULL,"0.17","34000","暂无",NULL,"随机域名","谷歌爬虫查询","5个节点（德国、NEUSTAR、ISC、芝加哥、英国节点）"
"47","2014-06-21",NULL,NULL,"2.4","39831","www.qd666666.cn",NULL,"4级构造","谷歌爬虫查询","10个节点（瑞典、广州移动、韩国、德国、香港、
美国ISC、新加坡、芝加哥、荷兰）"
"48","2014-06-22",NULL,NULL,"1.4","32308","暂无",NULL,"随机域名","百度蜘蛛查询","7个节点（主节点 、广州移动、韩国、南京联通、
济南联通、新加坡、北京联通）"
"49","2014-06-26",NULL,NULL,"2.5","30400","暂无",NULL,"随机域名","谷歌爬虫查询","1个节点（美国neustar）"
"50","2014-06-28",NULL,NULL,"0.17","31700","暂无",NULL,"随机域名","百度蜘蛛查询","5个节点（韩国、广州联通、济南联通、南京联通、北京联通、新加坡节）"
"51","2014-06-29",NULL,NULL,"0.25","32695","暂无",NULL,"随机域名","百度蜘蛛查询",
"52","2014-06-29",NULL,NULL,"2.4","51300","暂无",NULL,"随机域名","谷歌爬虫查询","11个节点（主节点、成都电信、广州移动、韩国、德国、neustar、香港
isc、英国TATA、瑞典、芝加哥）"
"53","2014-07-07",NULL,NULL,"4","38068","taier99.com.cn",NULL,"4级构造",,"4个节点（美国isc、德国、香港、新加坡）"
"54","2014-07-08",NULL,NULL,"0.42","43000","in-addr.arpa",NULL,"4级构造",,"1个节点（瑞典）"
"55","2014-07-09",NULL,NULL,"3.8","200000","bandaohr.cn",NULL,"3级构造","谷歌地址","19个节点（国外节点为主的大部分节点）"
"56","2014-07-10",NULL,NULL,"5.7","70000","goobbs.cn,123zc.cn,taier99.com.cn",NULL,"3级构造",,"6节点（CN域名主节点、瑞典、成都电信、广州移动、德国、Neustar）"
"57","2014-07-11",NULL,NULL,"1.25","226064","31yy.cn、j7188.cn",NULL,"3级构造","来自国外","20个节点（国内外顶级节点）"
"58","2014-07-12",NULL,NULL,"0.83","75000","mothai.cn",NULL,"3级构造","来自国外","10节点（主节点、瑞典、韩国、德国、香港、isc、
neustar、英国、芝加哥、荷兰节点)"
"59","2014-07-28",NULL,NULL,"7.8","280000","youkezx.cn",NULL,"3级构造",,"26个节点（国内外顶级节点）"
"60","2014-07-31",NULL,NULL,"0.67","60000","318w.cn",NULL,"3级构造","来自国外","12个节点"
"61","2014-08-03",NULL,NULL,"1","62000","318w.cn",NULL,"3级构造",,"9个节点（主节点、瑞典、德国、isc、neustar
英国芝加哥、荷兰、英国）"
"62","2014-08-04",NULL,NULL,"1.6","120000","dana888.cn",NULL,"3级构造",,"13个节点"
"63","2014-08-04",NULL,NULL,"0.83","62000","318w.cn",NULL,"3级构造",,"13个节点"
"64","2014-08-21",NULL,NULL,"7","110000","www.ly00666.cn",NULL,"4级构造",,"16个节点（主节点、瑞典、成都电信、广州移动、韩国、德国、美国neustar、香港、美国isc、英国、新加坡、荷兰、南京联通）"
"65","2014-09-08",NULL,NULL,"1","43150","ecookies.cn",NULL,"3级构造",,"4节点（主节点、广州移动、韩国、新加坡)"
"66","2014-09-10",NULL,NULL,"5","106000","puzhu049.cn",NULL,"3级构造",,"12节点(主节点、瑞典、成都电信、广州移动、韩国、德国、
美国neustar、香港、美国isc、英国、新加坡、荷兰）"
"67","2014-09-15",NULL,NULL,"0.58","70000","net.cn",NULL,"3级构造",,"7个节点（主节点、韩国、德国、美国NeuStar、南京联通
新加坡、美国USNCC)"
"68","2014-09-24",NULL,NULL,"1.17","80000","taobcat.net.cn,51yinyue8.cn,girl20.cn,donggan8.cn,facecook.cn,xinaijia.com.cn,1me1.cn,sss9.cn,moyin8.cn",NULL,"随机域名",,"6节点（北京科技网、新加坡、韩国、广州移动、北京联通、北京移动）"
"69","2014-09-27",NULL,NULL,"0.92","59300","bioscience.org.cn,szzjs.com.cn,skjz.com.cn,
jiumeibook.com.cn,pmpconverter.cn",NULL,"随机域名",,"6个节点（北京科技网、成都电信、广州移动、韩国、新加坡）"
"70","2014-10-02",NULL,NULL,"0.5","65000","tencool.com.cn",NULL,"4级构造","江苏省宿迁市","5节点（北京科技网、成都电信、韩国、广州电信、新加坡）"
"71","2014-10-27",NULL,NULL,"0.25","1602330","www.dianbaobao.net.cn",NULL,"4级构造",,"20个节点（国内外顶级节点）"
"72","2014-11-01",NULL,NULL,"4.4","57000","www.345qp.com.cn",NULL,"4级构造","来自国外","（11节点）北京科技网、瑞典、成都电信、广州移动、韩国、德国、
美国ISC、英国TATA、新加坡、美国芝加哥、荷兰 共11个节点"
"73","2014-11-03",NULL,NULL,"7","160000","www.345qp.com.cn",NULL,"4级构造","来自国外","14节点（瑞典、北京联通、济南联通、达拉斯、美国芝加哥、北京移动、
上海铁通、广州移动、广州联通、成都电信、韩国、英国、
新加坡、香港、南京联通等）"
"74","2014-11-06",NULL,NULL,"7","91600","www.345qp.com.cn",NULL,"4级构造","来自国外","6个节点（成都、韩国、新加坡、荷兰、香港、德国）"
"75","2014-11-11",NULL,NULL,"3.2","50000","www.345qp.com.cn",NULL,"4级构造","来自国外","5个节点（韩国、德国、美国neustar、美国isc、新加坡）"
"76","2014-11-15",NULL,NULL,"10.2","100000","2009-8.cn",NULL,"3级构造",,"26个节点（国内外顶级节点）"
"77","2014-11-21",NULL,NULL,"0.83","75000","www.345qp.com.cn",NULL,"4级构造","来自国外","7个节点（北京科技网、广州移动、德国、香港、美国isc
英国、美国芝加哥、荷兰）"
"78","2015-03-14","2015-03-14 10:51:00","2015-03-14 14:21:00","3.5","163000","*.we.fzxjm.cn,*.www.hsexpress.cn,*.www.zszhanyi.cn,*.www.lundaddc.cn","北京新网数码公司,厦门纳网科技公司","4级构造","IP比较分散且多为国外IP无明显规律","CN国内Global节点及多个海外节点"
"79","2015-03-15","2015-03-15 10:25:00","2015-03-15 15:25:00","5","193000","*.fzxjm.cn","北京新网数码公司","四级随机","源IP比较分散且多为国外IP无明显规律","CN国内Global节点及多个海外节点"
"80","2015-03-18","2015-03-18 19:00:00","2015-03-19 00:25:00","5.4","168000","*.fzwsl.cn,*.flcar.cn","北京新网数码公司","四级随机",,"CN国内Global节点及多个海外节点"
"81","2015-03-19","2015-03-19 11:30:00","2015-03-19 13:11:00","1.6","129000","*.www.jiays.cn","北京新网数码信息技术有限公司","四级随机","来源IP与查询端口分散，多为国内电信、联通IP地址段","CN国内Global及多个海外解析节点"
"82","2015-03-17","2015-03-17 12:00:00","2015-03-17 18:00:00","6","168000","*.fzwsl.cn,*.flcar.cn,*dzybg.cn","北京新网数码公司","三级随机","源IP比较分散且多为国外IP无明显规律","CN国内Global节点及多个海外节点QPS"
"83","2015-03-20","2015-03-20 16:50:00","2015-03-20 21:20:00","4.5","94000","jnfut.cn","北京新网数码信息技术有限公司","三级随机","大量国内和国外的分散IP地址","国内Global与部分国外节点"
"84","2015-03-23","2015-03-23 23:18:00","2015-03-23 23:58:00","0.8","80000","***.baidu666.mjob.net.cn","北京新网数码信息技术有限公司","四级随机","国外的分散IP地址","海外节点及主中心"
"85","2015-03-25","2015-03-25 11:15:00","2015-03-25 17:15:00","6","393000","*.cnkw.net.cn,*.mjob.net.cn","北京新网数码公司","四级随机","IP多为国外IP","国内Global节点（主中心、成都电信、广州移动、广州电信等）和海外节点韩国、德国，瑞典、美国三节点、新加坡、荷兰、香港"
"86","2015-03-27","2015-03-27 17:40:00","2015-03-27 21:30:00","3.8","97000","mk.jnfut.cn","北京新网数码信息技术有限公司","四级随机","来源IP比较分散,多为国内电信IP地址网段","共计12个节点遭受影响"
"87","2015-03-28","2015-03-28 11:45:00","2015-03-28 13:30:00","1.7","149000","youth.cn","万网","三级随机","来源IP比较分散，多为国外IP地址网段。","国外部分Global节点和主节点"
